date_sent,week,title,authors,venue,doi,url,final_score,verdict,reasoning,summary
2026-05-11,2026-05-11,Dino U-Net: Exploiting High-Fidelity Dense Features from Foundation Models for Medical Image Segmentation,"Haoyue Li, Yifan Gao, Feng Yuan, Xiaosong Wang, Xin Gao",arXiv,,https://arxiv.org/abs/2508.20909,7.6,reviewer_b,Reviewer B's focus on the clinical implications of PDAC aligns with the researcher's interest in survival prediction and clinically interpretable models. The paper's insights into PDAC outcomes are relevant for developing AI models in this domain.,"This paper investigates the impact of pulmonary metastases on long-term survival following surgical resection of pancreatic ductal adenocarcinoma (PDAC). It highlights the clinical significance of recurrence in PDAC outcomes and discusses potential targeted treatments. The findings may inform the development of survival prediction models and highlight the importance of considering metastatic disease in post-surgical evaluations. Given the focus on PDAC, the insights could be relevant for improving prognostic models and understanding tumor behavior in a clinical context."
2026-05-11,2026-05-11,Handling Missing Modalities in Multimodal Survival Prediction for Non-Small Cell Lung Cancer,"Filippo Ruffini, Camillo Maria Caruso, Claudia Tacconi, Lorenzo Nibid, Francesca Miccolis, Marta Lovino, Carlo Greco, Edy Ippolito, Michele Fiore, Alessio Cortellini, Bruno Beomonte Zobel, Giuseppe Perrone, Bruno Vincenzi, Claudio Marrocco, Alessandro Bria, Elisa Ficarra, Sara Ramella, Valerio Guarrasi, Paolo Soda",arXiv,,https://arxiv.org/abs/2601.10386,7.4,reviewer_b,The paper's focus on a foundation model that includes the pancreas aligns with the researcher's interest in interpretable AI models for pathology. The innovative approach to handling missing data is relevant for improving robustness and generalization in clinical settings.,"The paper introduces Pan-FM, a pan-organ foundation model designed to address the challenges of missing data in multimodal biomedical imaging. By pre-training on imaging data from seven organs, including the pancreas, the model aims to create robust representations that can generalize across different biological contexts. The approach employs saliency-guided masking to mitigate biases introduced by missing data, which is particularly relevant for clinical applications where data incompleteness is common. This work could inform the development of more interpretable and generalizable models in computational pathology, especially in the context of whole-slide image analysis and survival prediction."
2026-05-11,2026-05-11,DINO-MVR: Multi-View Readout of Frozen DINOv3 for Annotation-Efficient Medical Segmentation,"Wei Jiang, Feng Liu, Nan Ye, Hongfu Sun",arXiv,,https://arxiv.org/abs/2605.07221,7.4,reviewer_b,The paper's focus on annotation-efficient segmentation methods aligns with the challenges faced in whole-slide image analysis. The innovative use of frozen foundation models and lightweight probes may inform the researcher's work on interpretable AI models and survival prediction in pathology.,"The paper presents DINO-MVR, a novel Multi-View Readout framework that leverages frozen DINOv3 features for annotation-efficient medical segmentation. By training lightweight MLP probes on the final transformer blocks of a frozen backbone, the method reduces the need for extensive annotations while maintaining effective segmentation performance. The approach incorporates complementary resolutions and test-time augmentations, enhancing the robustness of the segmentation outputs. This methodology could be particularly relevant for whole-slide image analysis in pathology, where annotation scarcity is a common challenge."
2026-05-18,2026-05-18,SurvivalPFN: Amortizing Survival Prediction via In-Context Bayesian Inference,"Shi-ang Qi, Vahid Balazadeh, Michael Cooper, Russell Greiner, Rahul G. Krishnan",arXiv,,https://arxiv.org/abs/2605.15488,8.4,reviewer_b,Reviewer B's perspective aligns well with the researcher's focus on survival prediction and interpretability in oncology. The paper's innovative approach and strong validation potential make it highly relevant to the researcher's work.,"The paper introduces SurvivalPFN, a novel approach for survival analysis that leverages in-context Bayesian inference to handle time-to-event outcomes with censoring. By pretraining on a diverse set of synthetic datasets, the model can adapt to various complexities without requiring task-specific training or hyperparameter tuning, producing calibrated survival distributions. This method could be particularly beneficial for the researcher's focus on survival prediction in pediatric oncology and pancreatic cancer, as it emphasizes interpretability and flexibility in modeling. The rigorous evaluation across multiple datasets also suggests strong external validation potential, aligning well with the researcher's interest in generalizability and clinical relevance."
2026-05-18,2026-05-18,PTK2/FAK inhibition triggers TMED9-mediated protective autophagy in pancreatic cancer cell via enhancing ERGIC-ERES contact.,"Wu MY, Tang W, Zhang XW, Zhang MN, Xu HD, Yu SR, Cheng Y, Li L",Autophagy,10.1080/15548627.2026.2676079,https://pubmed.ncbi.nlm.nih.gov/42144738/,7.6,reviewer_b,"The paper aligns well with the researcher's focus on foundation models and their application in medical imaging, particularly in enhancing interpretability and addressing domain-specific challenges. The proposed methodology could provide valuable insights for adapting similar models to the researcher's work.","The paper presents MedBridge, a novel framework that adapts vision-language foundation models for medical image diagnosis by addressing domain shifts, resolution mismatches, and multi-label challenges. By integrating learnable query tokens into pretrained models, MedBridge facilitates domain alignment while preserving critical pathological details through high-resolution sampling. This approach not only enhances the model's performance in medical contexts but also opens avenues for more interpretable AI applications in clinical settings. The methodology could inform the researcher's work on integrating foundation models into histopathology, particularly in enhancing interpretability and accuracy in multi-label tasks."
2026-05-18,2026-05-18,Adapting Foundation Vision-Language Models to Medical Diagnosis via Query-Driven Expert Bridging,"Yitong Li, Morteza Ghahremani, Christian Wachinger",arXiv,,https://arxiv.org/abs/2505.21698,7.4,reviewer_b,"The integration of histology and gene profiles for survival prediction is directly relevant to the researcher's work. The innovative approach to modeling prognostic events could inform the development of interpretable AI models, making this paper a valuable resource.","The paper presents SlotSPE, a novel framework for structural prognostic event modeling that integrates histology images and gene profiles to enhance survival prediction in cancer. By addressing the challenges of high dimensionality and complexity in multimodal data, the authors propose a method that captures critical prognostic events through a slot-based approach. This framework aims to uncover sparse, patient-specific signals that influence patient outcomes, which could be particularly relevant for survival analysis in oncology. The methodology may offer insights into improving the interpretability and effectiveness of AI models in whole-slide image analysis, aligning well with the researcher's focus on clinically meaningful outputs."
2026-05-18,2026-05-18,U-SEG: Uncertainty in SEGmentation -- A systematic multi-variable exploration,"Michael Smith, Frank P. Ferrie",arXiv,,https://arxiv.org/abs/2605.15421,7.4,reviewer_b,"The paper's focus on data selection and diversity is relevant to the researcher's work in medical AI, particularly in the context of training models on whole-slide images. The proposed methods could enhance the interpretability and performance of AI models in pathology.","The paper presents a novel approach to targeted data selection using a Weighted Independent Set (WIS) framework on a similarity graph, aiming to balance sample quality and diversity in large-scale training datasets. By addressing challenges related to node weight calibration and edge construction, the authors propose refinements that enhance the selection process's effectiveness in heterogeneous domains. This methodology could be particularly relevant for optimizing training datasets in medical AI, including whole-slide image analysis, where data quality and diversity are crucial for model performance. The principles discussed may inform strategies for selecting informative subsets of histopathology data, potentially improving the interpretability and robustness of AI models in clinical settings."
2026-05-25,2026-05-25,PathNavigate: A Training-Free Pathology Agent with Surprise-Guided Scan and Shared Slide Memory for Whole-Slide Image VQA,"Chunze Yang, Qidong Liu, Wenjie Zhao, Yue Tang, Jiusong Ge, Di Zhang, Jiashuai Liu, Lei Wu, Junbo Lu, Ni Zhang, Xian Wu, Zeyu Gao, Chen Li",arXiv,,https://arxiv.org/abs/2605.23559,7.4,reviewer_b,"The paper's focus on segmentation tasks and interpretability aligns well with the researcher's expertise in whole-slide image analysis. The innovative approach to joint optimization could enhance segmentation models, making it relevant to the researcher's work in pediatric oncology and survival prediction.","The paper introduces Bootstrapped Group Relative Tool Optimization (B-GRTO), a novel framework for enhancing segmentation tasks by integrating reinforcement learning with differentiable objectives. It focuses on optimizing segmentation decoders in conjunction with vision-language models, which may have implications for improving segmentation accuracy in medical imaging contexts, including whole-slide images. The methodology emphasizes joint optimization of policies and tools, potentially offering insights into how to improve the interpretability and performance of segmentation models in clinical applications. This work could inform the development of more robust and interpretable AI models for medical image analysis, particularly in oncology."
2026-05-25,2026-05-25,Lost in the Folds: When Cross-Validation Is Not a Deep Ensemble for Uncertainty Estimation,"Tristan Kirscher (ICube, Institut Strauss, DKFZ), Markus Bujotzek (DKFZ), Yannick Kirchhoff (DKFZ), Maximilian Rokuss (DKFZ), Fabian Isensee (DKFZ), Kim-Celine Kahl (DKFZ), Balint Kovacs (DKFZ), Klaus Maier-Hein (DKFZ)",arXiv,,https://arxiv.org/abs/2605.18329,7.4,reviewer_b,The paper's use of attention-based MIL and focus on interpretability align with the researcher's emphasis on clinically meaningful outputs. The concept discovery aspect could provide valuable insights for developing frameworks in tumor segmentation and survival modeling.,"The paper introduces CLEAR-HPV, a novel framework that enhances the interpretability of attention-based multiple instance learning (MIL) for HPV-associated morphology in whole-slide histology. By restructuring the MIL latent space, the framework enables concept discovery without requiring labeled concepts during training, leading to the identification of morphologic concepts such as keratinizing and stromal features. The generated spatial concept maps and compact concept-fraction vectors maintain predictive information while improving interpretability, which is crucial for clinical applications. This work could inform the development of interpretable AI models in the researcher's focus on whole-slide image analysis and survival prediction, particularly in pediatric oncology and cancer pathology. The methods and findings may also offer insights into enhancing feature extraction and representation in similar contexts."
2026-05-25,2026-05-25,KAPLAN: Kolmogorov-Arnold Prognostic Learnable Activation Networks for Survival Analysis,"Stelios Boulitsakis Logothetis, Angela Wood, Pietro Li \`o",arXiv,,https://arxiv.org/abs/2605.23082,7.4,reviewer_b,The paper's focus on federated learning and survival prediction aligns with the researcher's interest in multi-center generalization and robust model development. The innovative approach to handling feature heterogeneity is particularly relevant for the researcher's work in developing interpretable AI models for whole-slide image analysis.,"The paper presents FederatedRSF, a novel approach to survival prediction that utilizes federated random survival forests to address the challenges of multi-center data analysis while maintaining patient privacy. By allowing institutions to collaborate on survival modeling without sharing raw data, this method is particularly relevant in the context of heterogeneous feature spaces, which is common in medical datasets. The evaluation on the GBSG2 breast cancer cohort demonstrates its applicability and effectiveness in handling partial overlap of features. This work could inform the researcher's efforts in multi-center clinical validation and improve the robustness of survival predictions in pediatric oncology and other domains."
2026-05-25,2026-05-25,Pan-FM: A Pan-Organ Foundation Model with Saliency-Guided Masking for Missing Robustness,"Qiangqiang Wu, Grace McIlvain, Zhou Yu, Junhao Wen",arXiv,,https://arxiv.org/abs/2605.07055,7.4,reviewer_b,"The paper's focus on a foundation model that incorporates multimodal data, including the pancreas, aligns well with the researcher's interest in interpretable AI models for pathology. The innovative approach to handling missing data could provide valuable insights for improving robustness and generalization in clinical settings.","The paper introduces Pan-FM, a pan-organ foundation model designed to address the challenges of missing data in multimodal biomedical imaging. By pre-training on imaging data from seven organs, including the pancreas, the model aims to create robust representations that can generalize across different biological contexts. The approach employs saliency-guided masking to mitigate biases introduced by missing data, which is particularly relevant for clinical applications where data incompleteness is common. This work could inform the development of more interpretable and generalizable models in computational pathology, especially in the context of whole-slide image analysis and survival prediction."
2026-05-25,2026-05-25,FederatedRSF : Federated Random Survival Forests for Partially Overlapping Medical Data,"Maryam Moradpour, Jonas Harriehausen, Amirreza Aleyasin, Lion Philipp Wolf, Youngjun Park, Anne-Christin Hauschild",arXiv,,https://arxiv.org/abs/2605.22954,7.4,reviewer_b,The paper's exploration of attention mechanisms in ViTs is relevant to the researcher's focus on interpretable AI models for whole-slide image analysis. The insights regarding attention transfer could inform the development of more effective models in the context of pathology.,"This paper investigates the effectiveness of Attention Transfer in Vision Transformers (ViTs), revealing that it does not universally apply across different ViT families. The authors conduct a thorough analysis on 20 teachers from 11 ViT families, finding that while some transfer successfully, others consistently underperform. This study highlights the importance of attention-routing channels in the transfer process, providing insights that could inform the design of attention-based models in medical imaging. The findings may be particularly relevant for improving the interpretability and performance of AI models in whole-slide image analysis, where attention mechanisms play a crucial role."
